platplc_short,jijigu,approvyear,platarea_py,bdarea_py,tyyyymm,tyyyymm,totalprc,etcprc
서울특별시 서초구 서초동,일반상업,92.01.29,207.3,1744,202001,202001,5000000,"토:24,154 만"
서울특별시 영등포구 여의도,일반상업,95.07.04,406,3006,202006,202006,5000000,"토:12,315 만"
서울특별시 종로구 효제동,일반상업,81.09.08,230,1149,202008,202008,5000000,"토:21,739 만"
서울특별시 중구 필동2가,2종일반,12.02.29,702,3262,202203,202203,5000000,"토:6,425 만
건:150 만"
서울특별시 강남구 신사동,일반상업,78.06.27,99,257,202302,202302,5000000,"토:50,505 만"
서울특별시 광진구 구의동,일반상업,78.12.21,636,387,202011,202011,4960000,"토:7,798 만"
서울특별시 강남구 청담동,2종일반,19.06.13,310,974,202106,202106,4950000,"토:14,874 만
건:347 만"
서울특별시 강남구 대치동,2종일반,80.05.03,347,777.2,202204,202204,4950000,"토:14,265 만"
서울특별시 마포구 서교동,2종일반,73.04.02,1096,148,202001,202001,4900000,"토:4,470 만"
서울특별시 영등포구 대림동,3종일반,85.11.20,1139.6,2538,202011,202011,4900000,"토:4,302 만"
서울특별시 성동구 성수동2,준공업,87.02.13,345.3,405,202205,202205,4900000,"토:14,202 만"
서울특별시 강남구 역삼동,일반상업,87.11.14,161,523,202303,202303,4840000,"토:30,062 만"
서울특별시 서초구 잠원동,일반상업,83.04.16,302,1644,202003,202003,4832117,"토:16,000 만"
서울특별시 영등포구 여의도,일반상업,89.06.07,360,2673,202007,202007,4800000,"토:13,333 만"
서울특별시 용산구 남영동,일반상업,95.11.15,436.5,1527,202107,202107,4800000,"토:11,009 만"
서울특별시 강남구 삼성동,3종일반,85.11.07,223,698,202109,202109,4800000,"토:21,524 만"
서울특별시 서초구 반포동,일반상업,87.12.31,166,770,202205,202205,4800000,"토:28,915 만"
서울특별시 강남구 신사동,3종일반,84.03.05,171,433,202304,202304,4745000,"토:27,748 만"
서울특별시 강남구 신사동,일반상업,80.07.15,111.5,240,202112,202112,4680000,"토:45,631 만"
서울특별시 강남구 청담동,일반상업,93.09.22,178,428,202301,202301,4665000,"토:26,207 만"
서울특별시 강남구 논현동,일반상업,92.06.05,172,783,202203,202203,4650000,"토:27,034 만"
서울특별시 강남구 논현동,일반상업,76.08.01,152,348,202208,202208,4650000,"토:30,592 만"
서울특별시 강남구 논현동,일반상업,93.06.03,155,718,202112,202112,4600000,"토:29,677 만"
서울특별시 강남구 삼성동,일반상업,22.03.23,161.3,605,202206,202206,4600000,"토:26,921 만
건:439 만"
서울특별시 강동구 성내동,3종일반,02.06.20,734,799.4,202203,202203,4600000,"토:6,216 만"
서울특별시 은평구 불광동,일반상업,15.06.19,1004,5655,202008,202008,4500000,"토:2,314 만
건:384 만"
서울특별시 강남구 청담동,3종일반,89.01.30,184,765,202105,202105,4500000,"토:24,456 만"
서울특별시 강남구 신사동,2종일반,05.07.22,146,556,202111,202111,4500000,"토:30,821 만"
서울특별시 강남구 논현동,3종일반,05.02.23,219,1128,202303,202303,4500000,"토:20,547 만"
서울특별시 강남구 역삼동,일반상업,79.05.15,259.9,465,202102,202102,4460000,"토:17,220 만"
서울특별시 강남구 신사동,일반상업,74.10.30,112,318,202106,202106,4460000,"토:39,821 만"
서울특별시 송파구 장지동,2종일반,95.12.30,1183.7,1938,202105,202105,4459000,"토:3,769 만"
서울특별시 영등포구 영등포,일반상업,68.04.10,536.2,956.5,202008,202008,4430000,"토:8,264 만"
서울특별시 영등포구 여의도,일반상업,92.06.22,360,3022,202006,202006,4420000,"토:12,277 만"
서울특별시 용산구 한남동,준주거,84.04.16,221,654,202102,202102,4420000,"토:20,000 만"
서울특별시 성북구 보문동7,준주거,84.07.07,561,3397,202302,202302,4350000,"토:7,754 만"
서울특별시 강남구 삼성동,3종일반,86.08.26,189,484,202306,202306,4350000,"토:23,015 만"
서울특별시 강남구 청담동,3종일반,93.09.27,334,681,202105,202105,4300000,"토:12,874 만"
서울특별시 강남구 논현동,일반상업,75.11.13,133,478,202205,202205,4250000,"토:31,954 만"
서울특별시 서초구 서초동,일반상업,10.04.07,106,759,202304,202304,4240000,"토:38,925 만
건:150 만"
서울특별시 강남구 역삼동,3종일반,84.08.23,346.9,1347,202106,202106,4210000,"토:12,167 만"
서울특별시 영등포구 대림동,3종일반,95.11.14,925,2795,202005,202005,4200000,"토:4,540 만"
서울특별시 영등포구 여의도,일반상업,90.12.22,450,3019,202011,202011,4200000,"토:9,333 만"
서울특별시 강남구 논현동,3종일반,03.11.27,245,872,202112,202112,4200000,"토:17,142 만"
서울특별시 용산구 이태원동,준주거,86.04.28,228.7,605,202109,202109,4200000,"토:18,421 만"
서울특별시 강남구 논현동,일반상업,94.09.07,228,1454,202101,202101,4170000,"토:18,289 만"
서울특별시 강남구 논현동,노선상업,90.09.24,268,213,202012,202012,4150000,"토:15,485 만"
서울특별시 강남구 논현동,일반상업,86.11.07,218,769,202202,202202,4150000,"토:19,036 만"
서울특별시 종로구 신문로2,1종일반,94.04.29,541.8,864,202205,202205,4143500,"토:7,658 만"
서울특별시 강남구 논현동,일반상업,91.11.27,211,1201,202006,202006,4100000,"토:19,431 만"
서울특별시 강남구 논현동,일반상업,15.05.01,160,1531,202007,202007,4100000,"토:22,241 만
건:353 만"
서울특별시 서초구 서초동,3종일반,84.01.20,405,885,202008,202008,4100000,"토:10,123 만"
서울특별시 강남구 역삼동,3종일반,94.09.16,341,402,202212,202212,4100000,"토:12,023 만"
서울특별시 중구 수표동,일반상업,68.10.31,172,1948,202208,202208,4089295,"토:23,774 만"
서울특별시 강남구 역삼동,일반상업,12.07.31,169,1671,202101,202101,4075000,"토:22,134 만
건:200 만"
서울특별시 강남구 신사동,3종일반,84.03.05,171,433,202106,202106,4069800,"토:23,800 만"
서울특별시 강서구 내발산동,3종일반,94.11.23,815,414,202012,202012,4068568,"토:4,992 만"
서울특별시 서초구 잠원동,3종일반,9007.02,168,104,202109,202109,4068000,"토:24,214 만"
서울특별시 서초구 잠원동,일반상업,92.07.02,122.1,181,202009,202009,4062600,"토:33,300 만"
