,grid_idx,center,pop2020,pop2021,pop2022,od2020,od2021,od2022
29085,25192,POINT (954185.230213883 1954515.54807064),30237.536013767884,29448.353134131954,28585.585593682954,2840093.5601906204,1623180.0695155913,2027402.5104906063
29086,25193,POINT (954185.230213883 1954615.54807064),30175.50450015176,29384.783223399863,28504.38858992709,2610187.863950804,1492715.1381407618,1864669.782134126
29087,25194,POINT (954185.230213883 1954715.54807064),29434.336713339704,28665.07049239221,27812.096560299477,2297277.630042261,1296947.221030528,1628966.194398065
29088,25195,POINT (954185.230213883 1954815.54807064),28418.52546774635,27679.63584473486,26864.907392726163,1966739.6202976345,1105613.5258625175,1395472.0268053496
29089,25196,POINT (954185.230213883 1954915.54807064),27969.292545952063,27280.165233619548,26500.091527432473,1641135.273757489,911800.3729217682,1156357.351503825
29090,25197,POINT (954185.230213883 1955015.54807064),27405.608556660114,26735.611573329053,25978.476068392996,1368661.7504200945,761428.8118717271,972753.9194298645
29091,25198,POINT (954185.230213883 1955115.54807064),26851.49420469146,26200.813845539968,25466.511955986214,1224514.5083231097,677355.9286432785,868258.7730670696
29095,25199,POINT (954185.230213883 1956015.54807064),21201.277541061194,20755.258384681078,20236.645862294183,259797.78300684414,148656.4788312421,192891.60832349455
29096,25200,POINT (954185.230213883 1956115.54807064),20972.583050507925,20535.967833767303,20030.21902908864,170402.8499832974,100930.23403623322,128258.95897071586
29097,25201,POINT (954185.230213883 1956215.54807064),20705.469919667008,20278.365667981892,19785.58550704122,47782.77030563498,33519.37868504074,38443.10831204417
29098,25202,POINT (954185.230213883 1956315.54807064),19603.651475552688,19209.09440161528,18714.657555162386,44857.04560903802,31466.997180031092,36089.2483185135
29099,25203,POINT (954185.230213883 1956415.54807064),19272.741712614912,18887.30234832177,18407.01397087804,42025.12856634566,29480.421283500633,33810.86025297039
29100,25204,POINT (954185.230213883 1956515.54807064),18888.254624134257,18512.321092960516,18046.606625108256,0.0,0.0,0.0
29101,25205,POINT (954185.230213883 1956615.54807064),18247.039070572773,17883.856638305017,17444.06310140183,0.0,0.0,0.0
29102,25206,POINT (954185.230213883 1956715.54807064),17774.716741650853,17421.688564916047,16996.359766232184,0.0,0.0,0.0
29103,25207,POINT (954185.230213883 1956815.54807064),16289.968136150572,15992.243355661365,15614.36386554586,0.0,0.0,0.0
29104,25208,POINT (954185.230213883 1956915.54807064),15194.82563341862,14921.468566169655,14579.05254395083,0.0,0.0,0.0
29105,25209,POINT (954185.230213883 1957015.54807064),13487.885482056312,13239.692299176206,12941.99192009998,0.0,0.0,0.0
29106,25210,POINT (954185.230213883 1957115.54807064),12074.722466545196,11847.832925192783,11585.129707039949,0.0,0.0,0.0
29107,25211,POINT (954185.230213883 1957215.54807064),11665.541837761259,11444.437126120887,11190.48188440238,0.0,0.0,0.0
29108,25212,POINT (954185.230213883 1957315.54807064),11228.611946373836,11013.909190215334,10769.21022794471,0.0,0.0,0.0
29109,25213,POINT (954185.230213883 1957415.54807064),10771.18212222344,10563.401413687883,10328.349265949852,0.0,0.0,0.0
29110,25214,POINT (954185.230213883 1957515.54807064),10299.762814782447,10099.330593143826,9874.206151551643,0.0,0.0,0.0
29111,25215,POINT (954185.230213883 1957615.54807064),8151.372747085462,7974.64956013821,7807.093681207676,0.0,0.0,0.0
29112,25216,POINT (954185.230213883 1957715.54807064),7764.074131207493,7594.102388878603,7433.67292748775,0.0,0.0,0.0
29113,25217,POINT (954185.230213883 1957815.54807064),7374.825674895777,7211.856092264834,7058.7074776280315,0.0,0.0,0.0
29114,25218,POINT (954185.230213883 1957915.54807064),6987.087137308989,6831.294393132443,6685.507499964417,0.0,0.0,0.0
29115,25219,POINT (954185.230213883 1958015.54807064),6603.786649068468,6455.275271837487,6316.865474390246,0.0,0.0,0.0
29116,25220,POINT (954185.230213883 1958115.54807064),6227.379475272693,6086.189925959488,5955.114826863957,0.0,0.0,0.0
29117,25221,POINT (954185.230213883 1958215.54807064),5859.900572907571,5726.015472076129,5602.1822898941955,0.0,0.0,0.0
29118,25222,POINT (954185.230213883 1958315.54807064),5503.0109162864355,5376.361348689517,5259.633948754482,0.0,0.0,0.0
29119,25223,POINT (954185.230213883 1958415.54807064),5158.038380999501,5038.510196761008,4928.71574438566,0.0,0.0,0.0
29123,25224,POINT (954285.230213883 1952415.54807064),39768.21952718159,39197.40735880356,38293.861675722954,13618201.03720621,7702323.004506157,9377511.79226533
29124,25225,POINT (954285.230213883 1952515.54807064),37464.57764560764,36978.67268222477,36100.365034950555,13132820.71377686,7421616.524302664,9053350.134699643
29125,25226,POINT (954285.230213883 1952615.54807064),36686.53188060079,36205.46011142965,35342.084085784925,12566830.07114101,7100226.9648021385,8678411.899938095
29126,25227,POINT (954285.230213883 1952715.54807064),36650.190857430505,36160.975109082814,35286.96342431311,12009903.277978258,6785526.299274416,8310054.214125062
29127,25228,POINT (954285.230213883 1952815.54807064),35187.07667935809,34721.37763721877,33873.69685705866,11472583.54626498,6484573.325215194,7956306.388076058
29128,25229,POINT (954285.230213883 1952915.54807064),35378.6286594275,34891.348131232204,34021.79931374409,10915688.481165763,6167929.036556432,7583698.913407556
29129,25230,POINT (954285.230213883 1953015.54807064),35530.80551125309,35021.49893387295,34127.99669678016,10329207.685024962,5829297.054610035,7183785.471405472
29130,25231,POINT (954285.230213883 1953115.54807064),34797.82436253833,34281.19961187244,33402.44817062143,9760525.810175918,5507032.259245327,6798814.698889408
29131,25232,POINT (954285.230213883 1953215.54807064),34942.333995366476,34401.93704326358,33492.490420648784,9175422.831238477,5176718.033113766,6400076.342355107
29132,25233,POINT (954285.230213883 1953315.54807064),33555.2411161406,33026.299903550585,32145.457225821472,8581290.882834071,4842438.510756654,5992980.137337414
29133,25234,POINT (954285.230213883 1953415.54807064),33662.27919164478,33108.58610564696,32195.794066728497,7964278.950086915,4497082.289718183,5569579.939604876
29134,25235,POINT (954285.230213883 1953515.54807064),34086.112096904704,33506.61524526763,32546.789519219798,7397375.980790701,4179008.7666493636,5178512.8986891275
29135,25236,POINT (954285.230213883 1953615.54807064),33003.33695688419,32250.519973385814,31297.329549310947,6856615.122599866,3875704.330360004,4804714.109973411
29136,25237,POINT (954285.230213883 1953715.54807064),32701.75957738923,31940.138081423178,30976.849516511276,6345547.600506925,3589047.7152285115,4450850.946235504
29137,25238,POINT (954285.230213883 1953815.54807064),33325.08986401528,32544.697393085717,31562.1058000975,5865464.831557435,3319708.485136079,4117962.39706856
29138,25239,POINT (954285.230213883 1953915.54807064),35229.55994492803,34345.50623240546,33307.5090560255,5264789.647677618,2978754.164026733,3701999.7201713054
