,종목코드,회사명,시장구분,업종,업종명,항목명,2022,2021,2020,cc,est_dt,induty_code,address,corp_code,corp_name,stock_code,rlgnm,gu,x,y
801,010780,아이에스동서,유가증권시장상장법인,232,"내화, 비내화 요업제품 제조업",영업이익(손실),"310,765,130,275","209,023,343,475","71,460,811,752",00115977,19750901,233,서울특별시 강남구  영동대로 741,00115977,아이에스동서,010780,서울특별시,강남구,127.053703072,37.524233760
802,069920,아이에스이커머스,코스닥시장상장법인,479,무점포 소매업,영업이익(손실),"-7,802,164,718","120,871,334","-4,740,107,990",00426068,20010314,479,"서울특별시 강남구 영동대로 648 (삼성동,삼안빌딩 5층)",00426068,아이에스이커머스,069920,서울특별시,강남구,127.057652598,37.519989914
813,175250,아이큐어,코스닥시장상장법인,212,의약품 제조업,영업이익(손실),"-28,283,201,852","-15,533,657,502","-6,291,250,579",00554352,20000529,21210,서울특별시 강남구 봉은사로104길 10 7층,00554352,아이큐어,175250,서울특별시,강남구,127.061917901,37.513717431
814,052460,아이크래프트,코스닥시장상장법인,620,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",영업이익(손실),"2,099,545,973","33,813,577","28,493,772",00405719,20000121,620,서울특별시 강남구 테헤란로44길 8 아이콘역삼 7층 및 8층,00405719,아이크래프트,052460,서울특별시,강남구,127.044436899,37.502363266
816,052770,아이톡시,코스닥시장상장법인,582,소프트웨어 개발 및 공급업,영업이익(손실),"-5,266,601,265","-73,942,084","-2,076,146,157",00346911,19970630,467,서울특별시 강남구 도산대로 427 파모소빌딩 4층,00346911,아이톡시,052770,서울특별시,강남구,127.042558664,37.523948352
817,124500,아이티센,코스닥시장상장법인,620,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",영업이익(손실),"31,538,468,377","14,562,145,227","25,201,012,728",00620868,20050510,62021,서울특별시 서초구 반포대로13 아이티센빌딩,00620868,아이티센,124500,서울특별시,서초구,0,0
818,372800,아이티아이즈,코스닥시장상장법인,582,소프트웨어 개발 및 공급업,영업손익,"-2,523,341,783","3,053,248,586","2,325,949,424",01429840,20120807,58221,"서울특별시 영등포구 은행로 37, 5층",01429840,아이티아이즈,372800,서울특별시,영등포구,126.922617514,37.529453307
823,001540,안국약품,코스닥시장상장법인,212,의약품 제조업,영업이익(손실),"-1,084,081,000","-61,209,863","2,417,840,589",00139205,19590212,21210,서울 영등포구 대림동 993-75,00139205,안국약품,001540,서울,영등포구,0,0
834,085810,알티캐스트,코스닥시장상장법인,582,소프트웨어 개발 및 공급업,영업이익(손실),"2,752,237,425","4,281,204,646","-13,496,180,044",00364254,19990201,58222,서울특별시 서초구 반포대로 27파크빌딩 6층,00364254,알티캐스트,085810,서울특별시,서초구,127.011599182,37.482861889
841,205500,액션스퀘어,코스닥시장상장법인,582,소프트웨어 개발 및 공급업,영업이익(손실),"-7,358,939,316","-1,851,301,128","-8,228,877,960",01042429,20140827,582,"서울특별시 강남구 테헤란로 419 20층(삼성동, 강남파이낸스플라자)",01042429,액션스퀘어,205500,서울특별시,강남구,127.052179532,37.505861980
842,052790,액토즈소프트,코스닥시장상장법인,582,소프트웨어 개발 및 공급업,영업이익,"25,383,870,235","17,854,203,641","25,654,108,358",00348034,19961029,5821,"서울특별시 중구 서애로 33 1층, 4층, 5층(필동3가,티엔에스빌딩)",00348034,액토즈소프트,052790,서울특별시,중구,126.996545220,37.559543276
853,038680,에스넷,코스닥시장상장법인,620,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",영업이익(손실),"-1,243,499,962","4,187,945,805","7,458,716,724",00264635,19990208,62021,서울특별시 강남구 선릉로 514 성원빌딩,00264635,에스넷,038680,서울특별시,강남구,127.049163074,37.505602847
865,306040,에스제이그룹,코스닥시장상장법인,151,"가죽, 가방 및 유사 제품 제조업",영업이익,"29,111,359,438","18,029,897,243","16,366,615,474",01222432,20080314,15129,서울특별시 강남구 도곡로 156 SJ빌딩,01222432,에스제이그룹,306040,서울특별시,강남구,127.037062982,37.490948134
872,052020,에스티큐브,코스닥시장상장법인,465,기계장비 및 관련 물품 도매업,영업이익(손실),"-18,950,232,263","-12,732,185,357","-3,084,161,336",00273110,19890816,465,"서울특별시 강남구  영동대로 511 2201(삼성동, 무역센터 트레이드타워)",00273110,에스티큐브,052020,서울특별시,강남구,127.060999083,37.510322574
878,187660,에이디엠코리아,코스닥시장상장법인,701,자연과학 및 공학 연구개발업,영업이익(손실),"2,090,550,559","3,530,521,258","850,876,993",01409022,20031031,70113,"서울특별시 종로구 새문안로5길 19, 7층 711호(당주동, 로얄빌딩)",01409022,에이디엠코리아,187660,서울특별시,종로구,126.974291344,37.572005554
880,078520,에이블씨엔씨,유가증권시장상장법인,204,기타 화학제품 제조업,영업이익(손실),"-22,379,323,056","-67,995,501,905","1,834,111,614",00400857,20000107,20423,"서울특별시 중구 남대문로 78 7층(명동1가, 타임워크명동빌딩)",00400857,에이블씨엔씨,078520,서울특별시,중구,126.982985497,37.564201004
886,227100,에이치앤비디자인,코스닥시장상장법인,281,"전동기, 발전기 및 전기 변환ㆍ공급ㆍ제어 장치 제조업",영업이익(손실),"-9,252,024,703","-5,381,761,113","-3,639,916,191",01207761,20120510,2811,서울특별시 강남구 테헤란로 301 18층,01207761,에이치앤비디자인,227100,서울특별시,강남구,127.043062532,37.503116773
888,043220,에이치엘비파워,코스닥시장상장법인,292,특수 목적용 기계 제조업,영업이익(손실),"-5,317,171,707","1,312,812,242","3,388,671,127",00317487,19950731,292,"서울특별시 강남구 언주로 527 3층(역삼동, 강남텔레피아빌딩)",00317487,티에스넥스젠,043220,서울특별시,강남구,127.041039938,37.505425076
891,357230,에이치피오,코스닥시장상장법인,107,기타 식품 제조업,영업이익(손실),"22,840,949,360","25,670,235,517","9,776,887,132",01068737,20120406,10797,서울특별시 영등포구 양평로 115 -,01068737,에이치피오,357230,서울특별시,영등포구,126.894606173,37.537308215
900,244920,에이플러스에셋,유가증권시장상장법인,662,보험 및 연금관련 서비스업,영업이익,"5,736,591,082","23,161,397,064","20,880,411,060",00684802,20070607,66202,서울특별시 서초구 강남대로 369 에이플러스에셋타워,00684802,에이플러스에셋,244920,서울특별시,서초구,127.028208435,37.495673498
903,230360,에코마케팅,코스닥시장상장법인,713,광고업,영업이익(손실),"40,062,457,774","58,860,907,917","37,837,722,117",01029394,20030324,71310,"서울특별시 강남구 학동로 343 14층(논현동, 포바강남타워)",01029394,에코마케팅,230360,서울특별시,강남구,127.040619448,37.517480740
